PackageName,KnownBadVersion,ThreatDescription,Source
@asyncapi/python-paho-template,0.2.14,ShaiHulud,KOI
@asyncapi/python-paho-template,0.2.15,ShaiHulud,KOI
@asyncapi/react-component,2.6.6,ShaiHulud,KOI
@asyncapi/react-component,2.6.7,ShaiHulud,KOI
@asyncapi/server-api,0.16.24,ShaiHulud,KOI
@asyncapi/server-api,0.16.25,ShaiHulud,KOI
@asyncapi/specs,6.8.3,ShaiHulud,KOI
@asyncapi/specs,6.9.1,ShaiHulud,KOI
@asyncapi/studio,1.0.2,ShaiHulud,KOI
@asyncapi/studio,1.0.3,ShaiHulud,KOI
@asyncapi/web-component,2.6.6,ShaiHulud,KOI
@asyncapi/web-component,2.6.7,ShaiHulud,KOI
@bdkinc/knex-ibmi,0.5.7,ShaiHulud,KOI
@browserbasehq/bb9,1.2.21,ShaiHulud,KOI
@browserbasehq/director-ai,1.0.3,ShaiHulud,KOI
@browserbasehq/mcp,2.1.1,ShaiHulud,KOI
@browserbasehq/mcp-server-browserbase,2.4.2,ShaiHulud,KOI
@browserbasehq/sdk-functions,0.0.4,ShaiHulud,KOI
@browserbasehq/stagehand,3.0.4,ShaiHulud,KOI
@browserbasehq/stagehand-docs,1.0.1,ShaiHulud,KOI
@caretive/caret-cli,0.0.2,ShaiHulud,KOI
@chtijs/eslint-config,1.0.1,ShaiHulud,KOI
@clausehq/flows-step-httprequest,0.1.14,ShaiHulud,KOI
@clausehq/flows-step-jsontoxml,0.1.14,ShaiHulud,KOI
@clausehq/flows-step-mqtt,0.1.14,ShaiHulud,KOI
@clausehq/flows-step-sendgridemail,0.1.14,ShaiHulud,KOI
@clausehq/flows-step-taskscreateurl,0.1.14,ShaiHulud,KOI
@cllbk/ghl,1.3.1,ShaiHulud,KOI
@commute/bloom,1.0.3,ShaiHulud,KOI
@commute/market-data,1.0.2,ShaiHulud,KOI
@commute/market-data-chartjs,2.3.1,ShaiHulud,KOI
@dev-blinq/ai-qa-logic,1.0.19,ShaiHulud,KOI
@dev-blinq/blinqioclient,1.0.21,ShaiHulud,KOI
@dev-blinq/cucumber-js,1.0.131,ShaiHulud,KOI
@dev-blinq/cucumber_client,1.0.738,ShaiHulud,KOI
@dev-blinq/ui-systems,1.0.93,ShaiHulud,KOI
@ensdomains/address-encoder,1.1.5,ShaiHulud,KOI
@ensdomains/blacklist,1.0.1,ShaiHulud,KOI
@ensdomains/buffer,0.1.2,ShaiHulud,KOI
@ensdomains/ccip-read-cf-worker,0.0.4,ShaiHulud,KOI
@ensdomains/ccip-read-dns-gateway,0.1.1,ShaiHulud,KOI
@ensdomains/ccip-read-router,0.0.7,ShaiHulud,KOI
@ensdomains/ccip-read-worker-viem,0.0.4,ShaiHulud,KOI
@ensdomains/content-hash,3.0.1,ShaiHulud,KOI
@ensdomains/curvearithmetics,1.0.1,ShaiHulud,KOI
@ensdomains/cypress-metamask,1.2.1,ShaiHulud,KOI
@ensdomains/dnsprovejs,0.5.3,ShaiHulud,KOI
@ensdomains/dnssec-oracle-anchors,0.0.2,ShaiHulud,KOI
@ensdomains/dnssecoraclejs,0.2.9,ShaiHulud,KOI
@ensdomains/durin,0.1.2,ShaiHulud,KOI
@ensdomains/durin-middleware,0.0.2,ShaiHulud,KOI
@ensdomains/ens-archived-contracts,0.0.3,ShaiHulud,KOI
@ensdomains/ens-avatar,1.0.4,ShaiHulud,KOI
@ensdomains/ens-contracts,1.6.1,ShaiHulud,KOI
@ensdomains/ens-test-env,1.0.2,ShaiHulud,KOI
@ensdomains/ens-validation,0.1.1,ShaiHulud,KOI
@ensdomains/ensjs,4.0.3,ShaiHulud,KOI
@ensdomains/ensjs-react,0.0.5,ShaiHulud,KOI
@ensdomains/eth-ens-namehash,2.0.16,ShaiHulud,KOI
@ensdomains/hackathon-registrar,1.0.5,ShaiHulud,KOI
@ensdomains/hardhat-chai-matchers-viem,0.1.15,ShaiHulud,KOI
@ensdomains/hardhat-toolbox-viem-extended,0.0.6,ShaiHulud,KOI
@ensdomains/mock,2.1.52,ShaiHulud,KOI
